business_id,active,categories,review_count,business_name,stars
6RooEHgSdUa4rP3tWyRw,TRUE,Breakfast & Brunch American (Traditional) Restaurants,42,Mimis Cafe,3.5
6yIYUuwYcZnClI_8_ojVg,TRUE,Active Life Martial Arts Fitness & Instruction,3,Guns Plus,2.5
73hx2hut_2KPcGpCTO5YA,TRUE,Food Ice Cream & Frozen Yogurt,15,USwirl,3
7smFzvh2E2fOOYs0Dl8w,TRUE,Sandwiches Restaurants,4,Chipotle,4.5
7XuLxfYwZ9x72mEKXdv0A,TRUE,Chinese Restaurants,7,Lin's Golden Chinese Restaurant,4.5
8aZ0v511M1zpoZAC3N3VA,TRUE,Food Weight Loss Centers Juice Bars & Smoothies Health & Medical,7,Nutrition 101,4
8IvK1VBMRqYY6CQzD6arg,TRUE,Active Life Golf,13,Vistal Golf Club,3
8PVPPnv232xPOUgPrxmg,TRUE,Department Stores Fashion Shopping Drugstores,3,Target Stores,3.5
8vrk9UzM2oIey95PZOHuA,TRUE,Restaurants,5,Kfc,1.5
8wyZkzfBmCFkMwCGcR4PQ,FALSE,Sandwiches Restaurants,33,Pugzie's,3.5
8Z6AiHwXInpnl6Q1Ey_5w,TRUE,Sporting Goods Bikes Shopping,4,Palo Verde Bike Shop,2
92fePI5W6MwOaxMxphFjA,TRUE,Food,6,My Big Fat Greek Express,3.5
98noPZy1sH6NndWmdtuDw,TRUE,Sandwiches Restaurants,5,Port of Subs,2.5
9meXYVIw8yFg_yMG5RvCw,TRUE,Hotels & Travel Event Planning & Services Hotels,3,Super 8 Motel,3.5
9pVS__IliMA2aNEYzrQrg,TRUE,Nightlife Bars American (Traditional) Sports Bars Restaurants,107,American Junkie,3
A5CFmkgdMEggaihtyxX4Q,FALSE,Bars Nightlife Dance Clubs,12,nextDOOR,3.5
A82xEVAjOYZtDdRQw1FQw,TRUE,Shopping Home & Garden Appliances,5,Best Home Appliances,5
AAig9FG0s8gYE4f8GfowQ,TRUE,Pizza Italian Sandwiches Restaurants,278,Pane Bianco,4.5
aBTFWuluGAJId7C4KNqeQ,TRUE,Active Life Golf Parks,7,Paradise Valley Park Golf Course,3
AcBphGFzYILy1XhnAwQTw,TRUE,Party Supplies Event Planning & Services Party & Event Planning,3,Affordable Party & Event Rentals,5
aDuOZelvBHWKhNrXooow,TRUE,Sandwiches Restaurants,13,Port of Subs,4
AEvCwVegPstHNAkhdsUA,TRUE,Women's Clothing Fashion Shopping Accessories,3,Hottie World,4
B55j4VAqKcxCQz2T1obJA,TRUE,Doctors Health & Medical Pediatricians,5,Gilbert Pediatrics,2.5
Bb1Xwd677TBSIPjw4x7oA,TRUE,Department Stores Grocery Fashion Shopping Food Mobile Phones,19,Walmart,2.5
bd26a1QEEpqUZjBmtBUiQ,TRUE,Ethiopian Restaurants,179,Lalibela Ethiopian Cafe,4
BQHw828VNrNZ7LtFnFJCA,TRUE,Tires Automotive Auto Repair,3,Fletcher's Tire & Auto Service,5
Bt99QgCCzmoZbchuDG_ew,TRUE,Arts & Entertainment Cinema Social Clubs,4,Valley Movie Group,5
b_VjHZmA78LVWp6z36VA,TRUE,Burgers Mexican Restaurants,21,Mim's Burger & Mexican Food,3.5
cKWUXE16M1R15UOt6sqQ,TRUE,Women's Clothing Men's Clothing Fashion Shopping Accessories,13,Banana Republic,3.5
cy8EpdXs44iT3FR4En0QA,TRUE,Delis Fast Food Sandwiches Restaurants,19,Firehouse Subs,4
CYr479M7Y49UqIPwFcjEg,TRUE,Food Coffee & Tea,4,Starbucks Corporation,5
CZ78cH3tTxpPuQ09CWw,FALSE,Plumbing Home Services Contractors,3,American Dream Plumbing Heating & Air Conditioning,4.5
d1I0dwtCg1IIjnI3DZ38Q,TRUE,Mexican Restaurants,6,Susie's Mexican Cafe & Lunch,3.5
dAVih5pWe7DEohm3tF69A,TRUE,Local Services Dry Cleaning & Laundry,3,Summit Cleaners,3.5
DGbZCnfEiHUyksKeJ72Q,TRUE,Bars Restaurants American (Traditional) Sports Bars Nightlife,10,Starters Sports Bar and Grill,3.5
dRR_A0y3EfW83CrKxXTQQ,TRUE,Home Services Heating & Air Conditioning/HVAC,4,Angel Air Cooling & Heating,5
dz2h55a0SdnBJEXQm9CAQ,TRUE,Veterinarians Pets,7,Prestige Animal Clinic,3.5
E6XYf1ce1NCtV3QQI3xA,TRUE,Seafood Steakhouses Restaurants,5,Longhorn Steakhouse Mesa,4
EctXOb3B7T177jGYUhjVA,TRUE,Pubs Bars American (Traditional) Nightlife Restaurants,139,Boulders On Broadway,4
eE4PAWu5FBRnAvbIMzWqg,FALSE,Restaurants,4,Quilted Bear,2
eim7j3MfRWxhatvudhYw,TRUE,Gardeners Shopping Nurseries & Gardening Home Services Home & Garden,4,The Urban Farm Nursery,5
EOZn5fbMKUo_3QEDFfedQ,TRUE,Colleges & Universities Active Life Education Trainers Fitness & Instruction,6,ChandlerGilbert Community College,2.5
ev01HlCKf7CYsh8ZXG_7w,FALSE,Bakeries Food Pet Services Pets,8,Three Dog Bakery,3.5
EzAwbe41Tq8rNItBdAA,TRUE,Sports Medicine Doctors Orthopedists Health & Medical,3,Arizona Orthopaedic & Sports Medicine Specialists,2.5
F9dpfu6eVuS7HGs1ptsQ,TRUE,Department Stores Fashion Shopping,11,Neiman Marcus Last Call,3
fgp41smAIXPBzmWzpY1aQ,TRUE,Department Stores Fashion Shopping,5,Stein Mart,4
fIGHIUdHXT_ZGh2IQz4Q,TRUE,,4,Gucci,2.5
fpBB1Oa7fVi7liNUd8qow,TRUE,Active Life Amusement Parks Nightlife Bowling,4,AMF McRay Plaza Lanes,4.5
fsCfTYEnJ4s6yStgBnQig,FALSE,Arts & Entertainment American (New) Caterers Event Planning & Services Cinema Restaurants,46,Farrelli's Cinema Supper Club,4
ftQeUsqwDkExRg6IYrubQ,TRUE,Greek Mediterranean Restaurants,105,Chicago Gyros,4.5
Fv9yPpyBd2Ophih6b2mTw,TRUE,Tanning Beauty & Spas,7,Celebrity Tanning,4
g5leVOzKA33Ruabe2Zo9w,TRUE,Food Desserts Barbeque Restaurants,12,B&G Caf?,2.5
gefwOTDqW9HWGDvWBPSMQ,TRUE,Nightlife Irish Arts & Entertainment Music Venues Restaurants,127,Seamus McCaffrey's,3.5
GPiLRLH0MWH6Pjs0WDglg,TRUE,American (Traditional) Steakhouses Seafood Restaurants,11,Black Angus Steakhouse,2.5
Gse8l_ec33gkWgotCLsew,FALSE,Chinese Restaurants,7,The Magic Wok,4
GYx5GAx_4XEsn7mFwdkA,TRUE,Burgers Restaurants,11,Red Robin America's Gourmet Burgers & Spirits,2.5
hq6zTIdPlkz9BDP11sBg,TRUE,American (Traditional) Restaurants,145,Seasons 52,4
H0JvSyF8r8vGDEBjRNArg,TRUE,Hair Removal Beauty & Spas,3,European Wax Center Goodyear,3.5
h1WpfgqAmJcJDqyXXJ2og,TRUE,Burgers Restaurants,13,Fuddruckers,4.5
h9LochyBgKpsLwNXfTiOw,FALSE,Barbeque Restaurants,9,Phoenix BBQ & Deli,3
HADyd0_rgt7PzZHWHTiQ,TRUE,Veterinarians Pets,6,Banfield Pet Hospital,3
hQ8iZygzi0iiTFUkHgiEA,TRUE,Food Bagels,45,Back East Bagels,3.5
HSVYFf0h868QQnLMHZWNw,TRUE,Swimming Pools Venues & Event Spaces Event Planning & Services Active Life Hotels & Travel Hotels,3,Hampton Inn,3.5
HvPJuXZ4rnHCZZxQGus_g,TRUE,Plumbing Home Services,6,Brothers Plumbing LLC,2.5
hWSt4JO2zT7zd7QzLZY9Q,FALSE,Food Coffee & Tea,6,Over Coffee,4.5
hzkQ8YIkExQse3vX0HOcg,FALSE,Soul Food Cajun/Creole Southern Restaurants,7,Lil' Mama's Soul Food Cafe,3
I3Cu9rLQXtL5us5wdy8tA,FALSE,Delis American (Traditional) Barbeque Restaurants,3,Open Range Deli and BBQ,2.5
IEBe1UpCz8dTAp8_fClw,TRUE,Mexican Restaurants,20,Garduno's Margarita Factory & Blue Agave,2.5
ijqzP5H4UCk2CEa6RRKQA,TRUE,Sporting Goods Shopping,3,Sports Authority,4.5
iJZPEnOw2oVUBFfg5wJw,TRUE,Pet Groomers Pet Services Pets,3,Doggie Door,3.5
IptYYZVDxgJgDB_eHJo1A,TRUE,Day Spas Beauty & Spas,4,Signature Nail and Spa,2.5
iyXLstr5tP_oPdxDQjKHg,TRUE,Women's Clothing Fashion Shopping Accessories,3,Brown Eyed Girlz Boutique,1
J0jhpG0rv4saq9OMh8gXw,TRUE,Food Coffee & Tea,6,Seattle Espresso,4.5
J4WRDa3ejlIHl0LTTsWng,TRUE,Home Services Real Estate Apartments,4,Promontory Pointe Apartments,2
JaNk2DOQdpjTl5Buiehg,TRUE,Pet Services Pet Stores Pets,3,PetSmart,4.5
jBymA8tIWURtSBcuUdXQ,TRUE,Fast Food Sandwiches Restaurants,8,Schlotzskys,4
JL0CWSLkkzFHZXlctnf8A,FALSE,Buffets Salad Restaurants,51,Sweet Tomatoes,3.5
JpZiiGPKOuCEiODGNyovw,TRUE,American (Traditional) Restaurants,5,Wendy's Old Fashioned Hamburgers,3.5
JxBD4rhbIXW3R5CFNox0w,TRUE,,5,Arcadia Window & Door,3.5
JYWpdJfMkqCTA_7fyz6Cw,TRUE,Health & Medical Dentists General Dentistry,4,Alameda Dental Care,4
K0cHLEnUl5PzTU9XiGoNQ,TRUE,Day Spas Beauty & Spas Nail Salons,3,Aloha Nails & Spa,4.5
KcEUiwXi4uHoa6VV6KMuA,TRUE,Beauty & Spas Hair Removal Laser Hair Removal,4,Ideal Image,2
KEU36ohRQb19mrbA65Y3Q,FALSE,Breakfast & Brunch Restaurants,25,The Good Egg,3.5
KF9RQPkmIOHfE0tzUu9bg,TRUE,Food Donuts,25,Dunkin Donuts,3.5
kVXDEqGHOWKxQ3EhvFgVA,FALSE,Mexican Restaurants,12,Kokopelli Mexican Grill,3.5
KzyOiFK4SM9I1vmuTSsuA,TRUE,Food Grocery,6,Fresh & Easy Neighborhood Market,4.5
L39pGMPP1kM3DI0Z0oZSw,TRUE,Food Coffee & Tea,8,Starbucks,2.5
lDo_9oU_xna4_idQP1r4A,TRUE,Hotels & Travel Event Planning & Services Venues & Event Spaces Hotels,77,Hotel Indigo Scottsdale Boutique Hotel,3.5
lOSaCuBRAvX5JBifxEMw,TRUE,Mexican Restaurants,53,Mi Amigo's Mexican Grill,3
luJmoJUWtS4iQh7Bbbblw,TRUE,Delis Restaurants,7,HoneyBaked Ham,3.5
LunygEblxqpInmp6N801A,TRUE,Carpet Installation Home Services Carpeting,3,Carpet World,3.5
M1rR1Ip7NOlMn5EbUkuog,TRUE,Restaurants,4,McDonald's Restaurants,2
Mf4I8Jr_Vly37Z3Mgf0zQ,FALSE,American (Traditional) Restaurants,10,JJ's Sports Cantina,3.5
mLcpJYfX8tw8LR9bq018w,TRUE,Buffets Chinese Restaurants,14,Great Wall Restaurant,3
mz0Zr0Dw6ZASg7_ah1R8A,TRUE,Chinese Restaurants,45,Sing High Chop Suey House,3
Np0OsSDyrBSatf0jXdVw,TRUE,Active Life Martial Arts Gyms Trainers Fitness & Instruction,4,Knockout Fitness,5
N6XWiSuFKvAXT7C3n6Yw,TRUE,Hotels & Travel Event Planning & Services Hotels,20,Hampton Inn PhoenixBiltmore,4
NbEHP2GHFNb5PnmJnd4qQ,TRUE,Women's Clothing Men's Clothing Fashion Shopping Accessories,3,The Buckle,4
nC13Bk7eJJN1likqJRY1w,TRUE,Active Life Pilates Fitness & Instruction,11,The Body Lab,4.5
NGrzJp0dX5pK3qdGSaspw,TRUE,Hair Salons Beauty & Spas,9,Cool Cuts 4 Kids,4.5
nHYKkSJuQ7zzFZ1veRfPg,TRUE,Chinese Restaurants,16,Little Peking,4
njvGjJacPJMJ9YWSr6G3Q,TRUE,Active Life Skating Rinks,3,Rollero Family Roller Skating Center,2.5
nmr3l0EmQaZAGEoXgk4w,TRUE,American (Traditional) Restaurants,4,Pacific's Cafe,3
nPwppgpTEO2nqo1h_lg,TRUE,Arts & Entertainment Cinema,11,AMC Arrowhead 14,2.5
NrEcXQ0qioMwkRsgoq8Kw,TRUE,Property Management Home Services Real Estate,4,Brewer Caldwell Property Management,2
nWigG5EhFLjdSgGZthS3Q,TRUE,Hotels & Travel Event Planning & Services Hotels,24,Embassy Suites Hotel PhoenixAirport At 24th Street,3.5
N_i2F9BDyIt9e1iihVr1w,TRUE,Food Specialty Food Seafood Markets,4,La Croix Louisiana Fish Market,4.5
O7H5LhBkE13VQZB0QZI0Q,TRUE,Bars American (Traditional) Nightlife Restaurants,52,Fat Tuesday,3
ofo_NSFpx6u8WBOWr86XQ,TRUE,Tree Services Home Services,5,Tree Doctors,4
Ogv7rpcgUHkFaSy3vD8Sw,TRUE,Buffets Chinese Restaurants,61,Hong Kong Gourmet Buffet,4
OjA9WvnnXExG9Djj2og,TRUE,Men's Clothing Fashion Shopping,3,Men's Wearhouse   ,3.5
p9eBYvts8tcalo5IWOKw,TRUE,TexMex Restaurants,28,Chipotle Mexican Grill,4.5
p9EKTtQRJM0nV9rx6pQ,TRUE,Pet Services Pet Training Pet Boarding/Pet Sitting Pets,7,Born To Run,4
PA_1J9JzxLcluTOw2gZjw,TRUE,Hawaiian Barbeque Restaurants,20,Ono Hawaiian BBQ,3
PisznY2s13FyX3tASY4aA,TRUE,Hardware Stores Shopping Home & Garden,12,Ace Hardware,3.5
PoxCIqlN6tX98AxC0aPTQ,TRUE,Food Grocery,25,Pro's Ranch Market,4
pW4bAhmTvY3UVkroQcUQg,TRUE,Health & Medical Chiropractors,4,The Joint ...The Chiropractic Place,5
QdMyyVGY3qXcXuLiqVqg,TRUE,Beauty & Spas Nail Salons,7,Nancy's Nail Salon,4.5
qv60txNVfg5pJ0b0wQJw,TRUE,Food Specialty Food Candy Stores,24,Candy Addict,4.5
qVTHznnQMPdgFuRYbyVw,TRUE,Food Ethnic Food Grocery Specialty Food,4,Super L Ranch Market,3.5
q_VodbABJygOSuv86LOtw,FALSE,Soul Food Restaurants,9,Chik A Ribs,3.5
r0wNFCnAkK8DjMnv3L6Zg,TRUE,Nightlife Restaurants,6,Copper Door Bar,3
Rj4yXguyZ06ZMPMmoR9tg,TRUE,American (Traditional) Restaurants,25,Keegan's Grill & Taproom,3.5
rOS0SknqQRJabyEX6r_TQ,TRUE,Veterinarians Pets,5,Banfield Pet Hospital,3.5
S7aL8dVIiXjCdbTZVn8uA,TRUE,Pizza Restaurants,11,Manhattan Pizzeria and Subshop,3
sAoGZTnFtDZUY9JYWHqlg,TRUE,Hotels & Travel Event Planning & Services Hotels,122,W Scottsdale,3.5
sC66z4SO3tR7nFCjfQwuQ,TRUE,Mexican Restaurants,549,Gallo Blanco Cafe,4
SfUBPZcJ6uw2cVlc6dkQ,TRUE,Libraries Public Services & Government,6,Northwest Regional Library,4.5
sHaV6At__T1RJQXiR6d0g,FALSE,Breakfast & Brunch Restaurants,29,First Watch,3
SS0C3OoPhVVBFCFfDWB2A,FALSE,Restaurants,4,Tacos Jalisco,3.5
ssS6vsRYRvJgTRt5BawTw,TRUE,Plumbing Home Services,7,Renaissance Plumbing LLC,5
sTBvM1pOpZts9dnJ6_5Xw,TRUE,Fast Food Sandwiches Restaurants,6,Subway,4
svamR1_OzUeiZkZf4qotw,TRUE,Photographers Event Planning & Services,8,Tyson Crosbie Photography,5
SxeUGqnKy8YiEV5YA42Jw,TRUE,Active Life Gyms Trainers Fitness & Instruction,8,LA Fitness,3.5
tBiXT917wKlr6n9wSqViw,TRUE,Steakhouses Restaurants,68,The Keg Steakhouse & Bar,3.5
Tc8XH5AovlSX3_tEmGerg,TRUE,Active Life Amusement Parks Shopping Toy Stores,4,Mooster's Mootique,5
tGrdYQlmuxhvKjQXScA5Q,TRUE,Local Services Carpet Cleaning,3,Healthy and Clean Living Environments,5
tNKkeCLk_acdp4vEYcpw,TRUE,Buffets Restaurants,23,Golden Corral Steak & Buffet House,3
TNwWa_OGPmZoBFl25zdYA,TRUE,Breakfast & Brunch Restaurants,4,Oasis Bagels,5
uB9Rm3DHpLThpakVXH3w,TRUE,Active Life Sports Clubs,5,World Adult Kickball Association  WAKA,4
UHDEY88hqUtrTPWfQ5CgQ,TRUE,Restaurants,5,Denny's Restaurant,4
UnYs8XvV1M983xZoREdng,TRUE,Bars Food Arts & Entertainment Venues & Event Spaces Wine Bars Wineries Event Planning & Services Nightlife,74,Su Vino Winery,4
uSHlr8Wk6f8ewVEgsvcWQ,TRUE,Breakfast & Brunch Diners Restaurants,6,Devil's Diner,4
UT6IHfVW_2yzz1bf8WI5g,FALSE,Mexican Vegan Restaurants,29,Tediberto's,3.5
ux2HqhfQqldjxSt8vdSwQ,TRUE,Arts & Entertainment Nightlife Music Venues,19,Cricket Wireless Pavilion,3.5
v8FrfMccLpIzong9XpiuQ,TRUE,Fast Food Restaurants,3,McDonald's,1.5
vaGR2CXNS4NZrMdctSkGA,TRUE,Mexican Restaurants,13,Los Reyes de la Torta,4
vBrVSZBtqbDgPAbGQ4ZYQ,TRUE,Local Services Junk Removal & Hauling,4,The Junk Guys,5
vF04fhPCoSdqgIhAZm0wQ,TRUE,Bars Restaurants American (Traditional) Nightlife Chicken Wings,17,Marc's Sports Grill & Nightlife,3
vHWAsiX0iHWJwpkqv32Q,TRUE,American (New) Sushi Bars Restaurants,90,Kona Grill,3.5
Vp12UIQIh2zeM6SPj9FA,FALSE,Mexican Restaurants,9,Prickly Pear Fresh Mexican Grill,4
wiXVXRj_Vk3H36PMzQYUQ,TRUE,Beauty & Spas Nail Salons,3,La Femme Salon,5
wTzMnejWNzPZZ1ntfkFYw,TRUE,Shopping Jewelry,4,Valley Goldmine,4.5
wwJIaO7diyEqxGwZKVuQ,TRUE,Sandwiches Restaurants,7,Sub Factory,3.5
WXHj7_Ugm6phJDdY5bzw,TRUE,American (Traditional) Restaurants,6,Applebee's Neighborhood Grill & Bar,2.5
wymeGehHwL9ALaE_NFCXA,TRUE,Shopping,24,Costco,4
WZIxGXJHMGidZXRhKxP3w,TRUE,Breakfast & Brunch American (Traditional) Restaurants,35,Mimi's Cafe,3
xBv8p9jzOkMyGlY07FMTA,TRUE,Fast Food Sandwiches Restaurants,5,Subway,3
xFO1E3OiDMmdqdjwUM_DA,TRUE,Mexican Restaurants,37,Losbetos Mexican Food,3.5
XlBQrxN_ZB3MZKxLBeAjA,FALSE,Bakeries Food American (Traditional) Restaurants,4,Marie Callender's,3.5
XoFkjdXb5ZIXwoZdjJtoQ,TRUE,Fast Food Pizza Restaurants,4,Papa John's Pizza,3.5
Xt7WmrOxl5MOd1czahCQ,TRUE,Automotive Gas & Service Stations,7,Quiktrip,5
x_jL2OCWPdObGTOwIpN4w,TRUE,Food Coffee & Tea,26,It's A Grind Coffee House,4.5
Y2rZMPttQqKXD_XJPQerA,TRUE,Mexican Restaurants,7,Rubio's Fresh Mexican Grill,3.5
ykt2ZJdTWVkset3C27_LA,TRUE,Automotive Body Shops,6,Ding Doctor AZ,5
yPdEze6bYRV2Sm1t4XJhg,FALSE,Burgers Restaurants,3,Fuddruckers,4
YtGU_1Sc1E57gJfUcDTw,TRUE,Women's Clothing Men's Clothing Fashion Shopping Accessories,12,American Apparel,3
yxfBYGB6SEqszmxJxd97A,TRUE,Wine Bars Bars American (New) Nightlife Restaurants,109,Quiessence Restaurant,3.5
yzbXeIf2QuN19kCMKFQ,TRUE,Home Services Real Estate Apartments,4,Aimco Colonnade Gardens Apt,1
zcZNlO0JwZHppan8rGkBQ,TRUE,American (Traditional) Restaurants,26,Chili's Too,3
ZN2OT0TcgjzRAQlBvGEBQ,TRUE,Arts & Entertainment Cinema,18,Harkins North Valley 16,3.5
zRuiAAK1FpbQDcw1fbrUA,TRUE,Hotels & Travel Event Planning & Services Hotels,4,Courtyard by Marriott,3.5
ZtFs3P1zKFv4RtY7iyssA,TRUE,Mass Media Radio Stations,6,Movin' 97.5  KMVA FM,3.5
ZXq0YMt2iOK4VRIqPcSCw,TRUE,Shopping Centers Shopping,47,CityScape,3
_0DxcEvnQ0w2mauUpyXA,TRUE,Health & Medical Dentists General Dentistry Cosmetic Dentists,30,Downtown Phoenix Dental,4.5
_JBgygYYD_UkuDGVTp6A,TRUE,Sandwiches Restaurants,5,Schlotzsky's,3.5
_K8AE722c1u9Dsa8jo_vg,TRUE,Shopping Nurseries & Gardening Home & Garden,6,Tropica Mango Rare and Exotic Fruit Nursery,4
_Ke8q969OAwEE_U0qUjw,FALSE,Food Beer Wine & Spirits Restaurants,6,Jug 'n Barrel Wine Shop,4.5
_npP9XdyzILAjtFfX8UAQ,TRUE,Vietnamese Sandwiches Restaurants,15,Thao's Sandwiches,3
_R8e87VykfxZxRz8Sosqw,TRUE,Beauty & Spas Nail Salons,10,Liberty Nails,4
_v2xBHC0awbCykFJEmHg,TRUE,Web Design Graphic Design Public Relations Professional Services,5,Cloud Nine Labs,5
_wk7WTa_ZJWFF_i5v_w,TRUE,Bars Sports Bars Nightlife,5,North Central Sports Bar,4
0A_cxbEmlkkq0362cvi3A,TRUE,Food Street Vendors Hot Dogs Restaurants,4,Hot Dog Guy,4.5
0JuUsqksiNbEOOkTGMNDw,TRUE,Food Coffee & Tea,9,Starbucks Coffee Company,4.5
0KOpYSe9aQTAfM38f47HQ,TRUE,Doctors Health & Medical,3,Paradise Valley Family Medicine,5
01cEFI5Pq_RyEwM3GSTopQ,TRUE,Bars Sports Bars Nightlife,67,Blue 32 Sports Grill,3.5
01cQQpeEwWpzTgv6YUQhAQ,TRUE,Hair Salons Beauty & Spas,4,Mario's Hair Company,4.5
01euuGhBwvcDhl9KcPTang,TRUE,Breakfast & Brunch Fast Food Mexican Restaurants,4,El Salsita,2
022T8YSRmb3b1BfwzO3F7Q,TRUE,Active Life Bowling,19,Brunswick Via Linda Lanes,4
03m0CGFwEInR8ZBGrqmO7w,TRUE,Used Vintage & Consignment Fashion Shopping,5,Turn Style Consignment,3
04HakCR6gEeRYNAoKxkppQ,TRUE,Mexican Restaurants,3,Hacienda Restaurant,2.5
04Jrd2zSzwHwmBqdKQDmIw,TRUE,Japanese Restaurants,11,Yogis Grill,3.5
04ooBGyXogN57dhLgJaQ1Q,TRUE,Fashion Shopping Accessories Party & Event Planning Event Planning & Services Women's Clothing,3,Priceless Clothing Company,3
04SKYBXRAqeYIuuVDzwKNg,FALSE,TexMex Restaurants,10,Moe's Southwest Grill,3
05aRozN6msYyyJIh8UEahQ,TRUE,Active Life Gyms Fitness & Instruction,3,Pure Fitness,2.5
05znNZZrJXlp64rR3S7Ug,TRUE,Arts & Entertainment Art Galleries Shopping,3,Jordre Studio,4.5
06A3s7JikJQbVxC6QbdNg,TRUE,Pool Halls Nightlife,3,Trickshot Billiards And Hookah,4
06kfoeRs9Acj82Yl3i9p_w,TRUE,Bakeries Food Sandwiches Restaurants,45,Wildflower Bread Company,4.5
06Rbm5JrkxQHz7yNTaPwaQ,TRUE,Doctors Health & Medical Obstetricians & Gynecologists,4,Premier Care for Women,4
07a5t3hYhtPHlBviiETUpA,TRUE,Banks & Credit Unions Financial Services,3,Wells Fargo Bank,5
07cTodzpVqswCRGCHG7aHg,TRUE,Hotels & Travel Event Planning & Services Hotels,4,Quality Inn & Suites At Talavi,2.5
07OyvsOpqTWuyTtvE4_gcA,FALSE,Thai Restaurants,60,Palee's Crown,4
07UqHgBkJ4Kach2sVT2FdQ,TRUE,Local Services Pest Control,5,Cummings Termite & Pest Control,3
08eBj_o6oTncJR0ylM8qSg,TRUE,Chinese Restaurants,5,Rice Garden,4
08InbFs8JOmSTDlQ0BfFw,TRUE,Pizza Restaurants,3,Chuck E Cheese's Pizza,3.5
08NQu7YaKY3m500DS7e5Tw,TRUE,Cajun/Creole Restaurants,3,Bourbon Street Grill,2.5
08OcGan0xiT6I_oJ2loLMA,TRUE,Food Grocery,18,Oakville Grocery,3.5
08u8R53F7kT6avQbIrLhvQ,TRUE,Active Life Parks,13,Paseo Vista Recreational Area,4.5
08Z_Zzp8PyEmWWpYurIOQ,TRUE,Asian Fusion Chinese Restaurants,12,Pei Wei Asian Diner Shops At Gainey Ranch,3
09dr3kXV8Ff42Ur3mCh3LA,TRUE,Pizza Restaurants,8,Peter Piper Pizza,3.5
09Kv1q51BlUyLznzNnL5Xw,TRUE,Food Grocery,3,Circle K Stores,3.5
09nlgfIqh29b_zVXPdmySg,FALSE,American (Traditional) Restaurants,8,T.G.I. Friday's,3.5
09QAAACarx9CzLsbRjOuUg,TRUE,Shopping Home Services Internet Service Providers Mobile Phones Professional Services Electronics,3,Verizon Wireless,3.5
09YNMPANM20sCJkVvMC1vg,TRUE,Tanning Massage Beauty & Spas,4,Club Tanning,4.5
0a8hLC1V7jgOjRigoBohAg,TRUE,Active Life Mini Golf Amusement Parks Event Planning & Services Party & Event Planning,39,Golfland Sunsplash,3.5
0AkoILvIy27Ss3UYxUGiHg,TRUE,Thai Laotian Restaurants,3,Sabaidee Thai Cuisine,4.5
0Apb1P7RzbQEkeJDuywlPQ,FALSE,Pubs Bars American (Traditional) Nightlife Restaurants,10,George & Dragon II English Restaurant Pub,2.5
0AZiq_OMKs3I9lTmwd5PSg,TRUE,Restaurants Italian,39,Tommy V's Osteria and Pizzeria,3.5
