business_id,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
bd26a1QEEpqUZjBmtBUiQ,27,31,28,28,38,42,25
b_VjHZmA78LVWp6z36VA,2,1,1,2,2,1,1
cKWUXE16M1R15UOt6sqQ,5,2,7,10,3,12,6
cy8EpdXs44iT3FR4En0QA,4,6,6,5,9,10,3
CYr479M7Y49UqIPwFcjEg,8,11,11,16,15,8,1
d1I0dwtCg1IIjnI3DZ38Q,1,0,2,4,0,0,0
DGbZCnfEiHUyksKeJ72Q,6,9,7,7,8,8,17
dz2h55a0SdnBJEXQm9CAQ,4,1,4,4,2,0,0
E6XYf1ce1NCtV3QQI3xA,0,1,1,1,7,2,0
EctXOb3B7T177jGYUhjVA,74,180,110,177,168,155,121
eim7j3MfRWxhatvudhYw,0,1,0,1,1,7,0
EOZn5fbMKUo_3QEDFfedQ,12,19,10,19,4,2,0
EzAwbe41Tq8rNItBdAA,3,1,1,0,0,0,0
F9dpfu6eVuS7HGs1ptsQ,10,2,5,4,11,19,12
fgp41smAIXPBzmWzpY1aQ,1,2,0,2,3,0,1
fIGHIUdHXT_ZGh2IQz4Q,1,0,1,2,7,5,4
fpBB1Oa7fVi7liNUd8qow,9,2,22,6,5,19,13
fsCfTYEnJ4s6yStgBnQig,2,4,0,1,7,16,7
ftQeUsqwDkExRg6IYrubQ,29,22,36,43,34,24,18
Fv9yPpyBd2Ophih6b2mTw,3,2,4,2,3,1,0
g5leVOzKA33Ruabe2Zo9w,0,4,1,0,0,5,2
gefwOTDqW9HWGDvWBPSMQ,72,53,71,91,130,140,90
GPiLRLH0MWH6Pjs0WDglg,0,2,3,2,7,12,6
Gse8l_ec33gkWgotCLsew,1,0,0,1,1,1,0
GYx5GAx_4XEsn7mFwdkA,12,9,12,10,20,21,15
hq6zTIdPlkz9BDP11sBg,22,40,47,39,66,41,25
h1WpfgqAmJcJDqyXXJ2og,18,9,20,22,20,17,20
HADyd0_rgt7PzZHWHTiQ,0,0,0,2,1,0,0
hQ8iZygzi0iiTFUkHgiEA,5,5,10,8,7,25,21
HSVYFf0h868QQnLMHZWNw,1,1,2,0,0,0,0
ijqzP5H4UCk2CEa6RRKQA,1,1,2,0,3,5,5
iyXLstr5tP_oPdxDQjKHg,0,0,1,0,1,2,1
J0jhpG0rv4saq9OMh8gXw,7,4,6,5,2,8,11
JaNk2DOQdpjTl5Buiehg,3,2,5,3,5,7,3
jBymA8tIWURtSBcuUdXQ,3,3,2,7,5,3,4
JL0CWSLkkzFHZXlctnf8A,20,33,37,31,39,28,29
JpZiiGPKOuCEiODGNyovw,3,1,11,5,4,2,1
K0cHLEnUl5PzTU9XiGoNQ,2,0,1,0,0,2,0
KEU36ohRQb19mrbA65Y3Q,5,2,6,5,9,20,34
KF9RQPkmIOHfE0tzUu9bg,24,40,32,42,51,60,42
kVXDEqGHOWKxQ3EhvFgVA,2,5,7,3,4,2,0
KzyOiFK4SM9I1vmuTSsuA,7,2,8,5,4,6,9
L39pGMPP1kM3DI0Z0oZSw,15,6,21,19,8,9,4
lDo_9oU_xna4_idQP1r4A,9,20,11,19,43,39,26
lOSaCuBRAvX5JBifxEMw,8,6,15,9,14,17,22
luJmoJUWtS4iQh7Bbbblw,0,2,2,1,3,3,0
M1rR1Ip7NOlMn5EbUkuog,1,2,1,2,1,1,0
Mf4I8Jr_Vly37Z3Mgf0zQ,0,1,0,1,14,8,3
mLcpJYfX8tw8LR9bq018w,4,3,5,5,6,8,9
mz0Zr0Dw6ZASg7_ah1R8A,11,10,3,9,8,10,19
N6XWiSuFKvAXT7C3n6Yw,2,6,7,4,11,3,2
NbEHP2GHFNb5PnmJnd4qQ,0,4,1,1,1,2,0
nC13Bk7eJJN1likqJRY1w,7,1,2,2,0,7,4
NGrzJp0dX5pK3qdGSaspw,1,2,2,1,0,3,2
nHYKkSJuQ7zzFZ1veRfPg,0,2,1,1,4,3,1
nPwppgpTEO2nqo1h_lg,7,6,10,8,10,21,22
nWigG5EhFLjdSgGZthS3Q,7,3,5,3,6,6,5
O7H5LhBkE13VQZB0QZI0Q,14,28,32,25,68,121,43
Ogv7rpcgUHkFaSy3vD8Sw,22,24,22,28,40,41,38
OjA9WvnnXExG9Djj2og,0,0,5,1,1,3,4
p9eBYvts8tcalo5IWOKw,200,221,240,212,171,88,77
p9EKTtQRJM0nV9rx6pQ,0,1,4,0,1,1,0
PA_1J9JzxLcluTOw2gZjw,10,14,17,17,11,9,6
PisznY2s13FyX3tASY4aA,6,5,5,8,5,13,18
PoxCIqlN6tX98AxC0aPTQ,10,7,13,5,10,21,14
pW4bAhmTvY3UVkroQcUQg,4,5,0,3,4,0,0
QdMyyVGY3qXcXuLiqVqg,1,1,0,0,1,3,0
qv60txNVfg5pJ0b0wQJw,7,12,8,7,22,12,23
qVTHznnQMPdgFuRYbyVw,0,0,0,0,2,4,1
r0wNFCnAkK8DjMnv3L6Zg,3,1,0,2,2,2,0
Rj4yXguyZ06ZMPMmoR9tg,21,16,19,18,26,12,11
S7aL8dVIiXjCdbTZVn8uA,2,1,2,1,0,1,0
sAoGZTnFtDZUY9JYWHqlg,58,77,96,250,198,223,151
sC66z4SO3tR7nFCjfQwuQ,126,192,150,148,266,302,280
SfUBPZcJ6uw2cVlc6dkQ,2,5,7,4,5,4,4
sHaV6At__T1RJQXiR6d0g,5,8,9,11,7,10,18
sTBvM1pOpZts9dnJ6_5Xw,1,3,2,1,2,1,2
SxeUGqnKy8YiEV5YA42Jw,30,32,24,24,23,15,3
tBiXT917wKlr6n9wSqViw,25,9,19,21,43,29,13
Tc8XH5AovlSX3_tEmGerg,3,1,4,4,2,4,3
tNKkeCLk_acdp4vEYcpw,4,5,1,11,8,7,18
TNwWa_OGPmZoBFl25zdYA,1,0,0,0,1,0,2
UHDEY88hqUtrTPWfQ5CgQ,8,9,4,6,5,9,18
UnYs8XvV1M983xZoREdng,0,11,34,26,35,34,12
uSHlr8Wk6f8ewVEgsvcWQ,2,2,4,2,3,4,2
UT6IHfVW_2yzz1bf8WI5g,2,1,3,4,4,9,5
ux2HqhfQqldjxSt8vdSwQ,11,1,8,20,39,36,17
v8FrfMccLpIzong9XpiuQ,1,1,1,3,4,3,2
vaGR2CXNS4NZrMdctSkGA,3,3,6,4,2,10,7
vF04fhPCoSdqgIhAZm0wQ,29,6,86,9,5,8,3
vHWAsiX0iHWJwpkqv32Q,41,48,49,48,92,81,39
wwJIaO7diyEqxGwZKVuQ,4,3,2,5,4,2,1
WXHj7_Ugm6phJDdY5bzw,6,8,3,8,21,16,15
wymeGehHwL9ALaE_NFCXA,44,24,37,47,56,80,108
WZIxGXJHMGidZXRhKxP3w,16,16,24,18,20,33,43
xBv8p9jzOkMyGlY07FMTA,9,8,5,7,4,2,2
xFO1E3OiDMmdqdjwUM_DA,11,9,25,11,16,47,60
XlBQrxN_ZB3MZKxLBeAjA,1,0,1,0,0,1,0
XoFkjdXb5ZIXwoZdjJtoQ,1,0,0,2,2,2,6
Xt7WmrOxl5MOd1czahCQ,11,9,15,9,10,10,7
x_jL2OCWPdObGTOwIpN4w,23,14,18,19,27,23,14
Y2rZMPttQqKXD_XJPQerA,2,2,0,4,2,3,7
YtGU_1Sc1E57gJfUcDTw,7,9,6,13,6,19,12
yxfBYGB6SEqszmxJxd97A,0,2,4,6,10,13,1
zcZNlO0JwZHppan8rGkBQ,15,13,16,19,19,12,24
ZN2OT0TcgjzRAQlBvGEBQ,28,26,22,13,51,64,87
zRuiAAK1FpbQDcw1fbrUA,5,4,1,3,2,6,3
ZXq0YMt2iOK4VRIqPcSCw,47,63,82,82,118,118,50
_0DxcEvnQ0w2mauUpyXA,10,7,1,11,1,1,0
_JBgygYYD_UkuDGVTp6A,2,6,2,3,5,4,3
_npP9XdyzILAjtFfX8UAQ,1,4,0,1,0,1,3
_R8e87VykfxZxRz8Sosqw,3,2,1,3,5,2,1
_wk7WTa_ZJWFF_i5v_w,7,11,4,5,16,8,15
0JuUsqksiNbEOOkTGMNDw,14,19,22,14,17,21,17
0KOpYSe9aQTAfM38f47HQ,3,1,3,1,1,0,0
01cEFI5Pq_RyEwM3GSTopQ,36,26,51,71,67,94,85
01euuGhBwvcDhl9KcPTang,1,1,0,0,1,0,1
022T8YSRmb3b1BfwzO3F7Q,6,18,9,12,10,27,21
03m0CGFwEInR8ZBGrqmO7w,0,0,4,0,0,1,0
04Jrd2zSzwHwmBqdKQDmIw,7,7,10,5,8,7,3
06A3s7JikJQbVxC6QbdNg,0,0,0,0,2,1,1
06kfoeRs9Acj82Yl3i9p_w,55,51,57,57,49,27,21
07a5t3hYhtPHlBviiETUpA,0,6,0,1,7,3,1
07cTodzpVqswCRGCHG7aHg,1,1,0,0,1,3,2
07OyvsOpqTWuyTtvE4_gcA,1,29,17,25,32,24,26
08eBj_o6oTncJR0ylM8qSg,3,3,2,5,0,0,1
08InbFs8JOmSTDlQ0BfFw,1,2,1,1,1,9,6
08NQu7YaKY3m500DS7e5Tw,0,1,0,1,0,1,0
08OcGan0xiT6I_oJ2loLMA,8,15,12,8,14,12,1
08u8R53F7kT6avQbIrLhvQ,3,6,8,8,5,16,22
08Z_Zzp8PyEmWWpYurIOQ,3,2,5,3,6,4,1
09dr3kXV8Ff42Ur3mCh3LA,6,7,13,16,14,6,8
09Kv1q51BlUyLznzNnL5Xw,1,3,0,4,4,4,5
09nlgfIqh29b_zVXPdmySg,1,2,2,2,4,8,6
09QAAACarx9CzLsbRjOuUg,2,1,1,2,1,1,0
09YNMPANM20sCJkVvMC1vg,5,2,1,3,4,3,0
0a8hLC1V7jgOjRigoBohAg,11,13,11,14,22,52,30
0Apb1P7RzbQEkeJDuywlPQ,1,0,3,0,4,0,0
0AZiq_OMKs3I9lTmwd5PSg,3,4,6,6,8,6,11
0BpMvu5B9fYKEbOuxLtFQ,0,8,6,6,19,8,4
0bQEsXnD6y38Fissudcq3g,1,1,3,4,5,4,1
0bQiWdKxj2EmsGYRVC9qyA,3,3,4,2,9,6,2
0BScRHEa2lVBCY4spkhmvQ,2,1,1,0,1,3,4
0BYuj1cOFkqdcnd653bcbw,0,0,1,0,1,2,0
0CFBeDV58e3uH4vsKggEmQ,1,1,1,2,3,2,5
0CG3ns3gwWV5nOnfzSfUIQ,8,4,4,4,10,21,17
0COaKgRuDzBisc2AxcLzMA,57,37,44,28,29,56,53
0db71MbrvcJnyk71COCJBg,13,16,14,11,31,54,105
0De3TQ_uSOXwgduKL0va3w,8,4,4,7,5,6,3
0deS4g2xR4SjvjHNeHUcA,0,0,0,5,1,0,0
0dIChGWBs9ueUXl0hhkw2w,11,13,11,6,5,9,15
0dORc6ckZw5HezR3BuSsqw,75,77,82,74,79,58,4
0DvsBDG0CEwIK8uQxUGiOQ,0,0,1,0,1,3,7
0EBR4wDqtkbMCwghpctEg,2,4,2,1,2,2,0
0EE3BohGb4lxWRnHLiqNnw,2,1,2,4,2,10,6
0eQbLuTmlkIzOF85LsGfsA,1,0,1,2,2,6,0
0erbONkOO256HNzuIllFig,10,7,9,5,5,4,7
0eSkAhHp8w94G4SqwfsU8w,2,2,2,2,1,5,3
0f1oltdXd_3elbeLPK49Og,1,1,4,2,2,0,0
0f4IQo7Odn7nvvO4TCAGAw,1,5,1,4,5,2,3
0flaoi5DDGtFLbmhVprmA,1,0,2,2,1,1,0
0gQrhOYWdO0XVZEKtOrvaA,12,1,5,9,8,17,15
0GRYyMRzwA9WYc8UTB2nRA,1,2,6,4,6,9,5
0Gu2cpJ5x9ZZfDDHohBY_A,13,14,10,13,14,28,18
0g_KFvnPIkA8ywTXPPeRCg,0,2,2,3,1,2,7
0HDkCZtCvuaWahio1pBw,0,2,1,1,2,3,1
0hoHNh8rN2D3A0wpNCGtZA,0,0,3,2,2,3,1
0hYTkJtgQGuysCZnmFZDQ,4,4,2,2,5,2,2
0iDFiC3ThklulFzSlJqaOw,2,1,4,1,1,6,3
0ieEqGInYunNBaBzg8j_WQ,2,2,4,3,2,9,5
0IojJ5ZpxhX_BFJdgUk0Nw,1,0,0,0,6,2,2
0iWfPm7jgGeFe_Gt8G3DAg,2,0,2,3,4,4,3
0j2UisBk89SHqihr0IdlJw,3,1,1,2,5,7,3
0jDkXQdprSgbx8GeK0dcTg,1,1,7,1,5,3,2
0Jouvs4G3d6CcG3pYGZ20A,3,3,1,5,2,3,0
0jPDeGGcCjX2BXj0DEuWIQ,3,3,4,4,5,0,0
0K35eGvzVRZEirNo5v_WfA,16,16,21,35,44,40,16
0K634ehk41ZRc4kj3NTAEQ,51,60,64,59,63,157,140
0kcStBtW94pooaaA2PbIQ,0,0,1,0,0,2,1
0kZ4aYmqf5fzTt9Yvz8Kvw,6,5,8,7,7,15,12
0LCqaCnEGesFEhpa6qNauQ,0,0,0,0,4,7,1
0le8kj4gIHe9aZ1NfS2_Ag,3,1,0,2,1,1,1
0lEp4vISRmOXa8Xz2pWhbw,34,36,42,40,36,48,0
0lfA2GcxcvdhvVKvVXN40w,0,2,0,0,2,0,2
0Llpzg85OhJF2CqJPU08Ew,0,0,0,2,1,3,0
0M0K0dElhzTAqeaoLA0JgQ,0,0,0,1,1,2,0
0m0KmAYGvC34MfwJIEgCEA,8,10,14,13,26,9,13
0MepUkozmPI0YQp8Bp7p8g,1,2,0,5,2,7,3
0mipXeIcQaqhkpseD80vQ,20,17,15,25,26,69,94
0MoKiXqYSvyJu_BFugwFqg,1,0,1,0,0,0,4
0nGjXTpUtpIJl10PL0eBGg,17,11,21,12,17,39,45
0NhcabzEyeCIMsNCPOXMQ,8,20,20,11,14,13,10
0NKRV1kMtzHNpNbl8TYPDA,3,3,2,8,2,9,5
0O9Un17ZGVm5_JKkyHytSQ,5,2,3,5,8,4,1
0ONypOKIhttBz9IJzBE8jg,18,10,16,20,19,32,23
0oRG2_PbJglmK3jg7LWDmA,1,2,5,1,2,3,4
0PHtGlX__H_XHe9638DtLg,1,2,3,0,0,2,2
0PRRN8ncFFIY4nPIbmbqbQ,4,2,6,6,6,0,0
0QFxzJAd_6SQ55LSTc_v4g,2,3,1,1,3,3,1
0qiGyzxHr5wDDJLXbSRYAA,1,0,1,0,0,4,0
0QrAKlgp1RGzUr6uJS7Q,7,5,6,4,7,15,6
0qTluM4Hs4uLMJSxesnLqQ,0,0,1,0,1,1,0
0QTn4pMzKv1mnQifcP9YoQ,6,11,4,6,10,8,9
0qUesn1TBPpPjW20h5Lqfg,18,17,12,26,52,29,3
0rbT0NfA56t4DnYIIvyQ,2,3,3,4,11,2,0
0rdjRz43JDkx1ghoHnEXQ,1,2,2,0,1,6,2
0ROrgaauL7hmivzyd34iKA,0,0,0,2,1,0,0
0RqNRc6RiILzZxK9J8Kqug,14,21,13,15,30,27,33
0Rrih6W3LGrNGB_3cQaplg,8,7,4,5,4,9,9
0sML_PZTH3aQcXi5bkyLZA,6,10,2,10,10,23,18
0sNQHGJCb6ckMW3P_J3oXA,0,4,2,0,0,0,1
0SQmfh7ppX3HnYx9SxmReA,6,2,4,1,2,8,4
0tQhcdACWuEm_sWx1fKUg,1,4,1,1,1,12,7
0tqrgESNOpN2CNoEtCGYpQ,4,14,6,8,15,29,13
0u0I_UUbsE6kc9so_WlBRQ,0,0,1,0,1,1,0
0udEgNqy5rLR5pZ4kD19Og,43,52,50,44,42,30,42
0UoiVRI6RXedld2gd0ibA,1,0,0,1,0,1,3
0UWfvm0ah8DVSm3nkbsMg,9,10,8,8,6,0,1
0UZ31UTcOLRKuqPqPeVBA,286,431,379,165,524,575,418
0vFCASHpp2VBeTuVus4MOg,2,0,3,2,0,4,0
0VHXNBdxXIYUAob6QgtPA,5,2,2,3,2,4,3
0VLZj0f3llL9IkL5GOT3lg,0,1,0,1,5,3,2
0VpsHbGLHDVKIKAi0ZliyQ,1,5,12,8,10,11,20
0Vty6xYvihXkmsocY1HWQ,11,13,8,11,12,25,20
0vYp6ITH7FsBtlpFcWTdRA,7,4,2,4,5,2,9
0VyvlA1mZsDoYd3kkRjevA,6,4,5,6,17,19,14
0VZ9kijz5gM38xP6UCZ9uw,2,2,1,3,0,0,1
0vzZ_Bcb02rJljeMU9XkBw,37,62,53,56,84,35,32
0w3BMfywLZvPkkv3b6wfg,2,0,0,0,0,1,0
0w8fZao3bZYF57vyYoJjZQ,0,1,0,1,0,1,0
0wcIW43ZFTeVFmRMvylZxQ,28,32,34,42,14,33,54
0wKzW6Bgqgvnob8Qc77g,3,5,3,6,7,9,7
0wlMvYeB9LSZPvheSF4Q,5,4,4,6,10,9,6
0wRPvSsG5xpEMKVuDBJg,2,0,1,0,2,6,14
0xDNu8EhXAaHVfhHjkYUHQ,17,11,18,14,16,26,16
0xJnnx_oYYZb9pBmzzGIlg,8,6,9,6,10,13,7
0Xnduj9w6aYHOtN_RlHUng,1,2,4,6,4,1,0
0xWF7PpTNlawqg2YGxxFQ,9,6,10,5,15,15,20
0Xz7umPUtAxf6JMHwybnmg,0,0,3,3,1,1,0
0yBs5wbVw9gTIDe9ZrMTg,2,2,7,8,25,17,13
0YCV8260mMgN0PxuzAtO3g,10,6,9,4,2,0,3
0YEbfeYZXkcTwjos9cgaEA,5,12,11,8,5,6,7
0yfN4bdKZfkFSXseB2kOBg,0,3,2,5,5,4,0
0ylC0tsPUY3yaoXRaCDL3Q,3,4,2,4,3,5,6
0ytZOTV8kv67sUWDRgXL_A,1,1,1,2,0,1,9
0Z5ZdHaqmE1Iu8aTgp2qXg,1,0,2,1,1,0,0
0zcHBms7sK9IYv4zn_qrqQ,23,23,19,19,11,24,0
0zHHvaVxvR5BpFXECvNNFQ,2,1,2,8,5,10,7
0zj1T4Zc7l_dXZhO3Unfw,0,3,0,1,3,1,0
0zjzaE5tCH86JnPZwDpfaw,30,35,42,35,29,72,66
0_vMnSRqc5aZUg1eBk3l2g,52,23,32,42,39,40,23
11VcGTL3GyCqUpXZLFTZA,21,24,20,10,29,43,29
1olreZavAIvmMefkZrWdQ,2,0,2,1,2,0,1
10BgGvCMDHJbYsg8KRLRg,3,2,1,1,2,0,0
11TvD4sCfA8GEqLDANpbSQ,1,3,0,2,1,0,0
12ti55UYaJ82eDTAIadHA,7,4,4,2,6,7,10
12WjqfqjP3hgSUcOFnFw,3,1,1,0,3,13,0
136zvrfN6Kpr9tFj3OMNUQ,18,25,16,16,15,11,12
13ApBJpR1W7cke__9j74Bw,0,8,6,6,6,3,7
13lNc7KSuVHBrUybTR23qw,5,12,3,4,8,9,12
13VZKXF7bBuLsLDh_r3g0w,16,3,5,8,11,0,0
145SQ_msdQ1yo7J0E63VoA,0,0,0,0,0,10,13
14K90Ghbfk795NY7cKxMA,20,21,32,25,38,65,51
14Ys8nYayXPpUouHsyTN1A,1,2,2,1,2,4,4
15JZ0ME6eOtShdLctzfR6w,4,4,2,2,5,2,4
1621ir5mjVgbHwxCbMAEjg,9,11,13,3,14,19,9
166feddAL9YETnzTSUJ8aA,2,0,3,3,2,0,6
16olLTJnCA0Q3B_oft0RvQ,1,0,1,0,1,2,1
16orLd_wKfdfh4AxTZu_zQ,1,0,1,0,0,1,0
16SBP4NJhr7PTOWWnRL5A,0,0,1,1,0,1,0
17AGor2KUDMLUV5u5NbTnw,0,1,2,1,3,2,0
17AQhJKGRA3YLeN0pB64cg,52,64,65,58,46,13,28
17DI33J8TkcfzyoiIYLQIw,22,10,13,14,13,18,8
17SERT_RRNDqPrf418OQvQ,2,1,4,0,3,4,3
18hSbjtTEdiLBbX9cAILQ,3,3,2,2,3,2,0
18oecrR4bfctLvVGEaSLg,10,14,14,20,23,22,27
18TUn9oiW0k0yB6lheiOvw,17,23,27,36,51,50,28
18X496TOlKunSiAnm6z1dg,0,0,1,1,3,11,4
19hZVXTJ8nGUMBsuIfgm5g,5,4,3,8,7,1,0
1AMncE6Lxdr6J9PeqZi4nA,16,13,8,11,17,20,13
1Ap6ZNCvyLLKHP0wvCk9yA,68,62,63,83,124,252,162
1AR1oHvHVPihkNWNyQ7wtA,0,3,1,2,0,1,0
1B5vpxnZYXKil_k5d5MpEQ,1,4,4,2,2,0,1
1BBYTiRHddjgAvDUht5WAg,2,3,1,2,6,5,2
1bLnV57i6UYvG_FSG7WTg,0,1,1,1,4,4,1
1cGZU2gDewDfEubBMZEgQ,2,4,1,1,2,5,7
1CNJeljdT4Ap7B8ddbkYw,2,3,4,1,0,6,5
1CNKe3H07sLu6rigOpAYsg,22,30,77,67,97,122,70
1crzPdwnlm2zHdQ2nP4n7w,7,4,3,5,5,1,1
1cTI09YZ3uRPXt3YkznuPg,9,5,3,8,10,11,1
1ctVj76TXrHpqX3px49n6A,0,3,0,3,2,2,0
1CU_ksC32Hz7QmioMH91nQ,2,1,4,2,20,42,25
1CwRtFemRPSZuoOlEGpqIw,0,1,3,0,2,0,0
1dC3GSC5bgQf9wEpbv8PQ,49,51,58,32,43,62,47
1DDTdvU06tng7o0vU7rig,0,0,1,1,2,4,2
1DgSbbjaT7z3LCui1zZ1cg,8,6,6,5,16,11,6
1DjRf3AdYpdlC1Df9KD6rA,8,7,3,7,6,1,7
1Duul3qCnLrNak1NpiHfw,60,67,65,87,91,85,53
1DXImhJuHhU221oRQ8zJ9g,4,4,7,4,3,6,7
1eBJyYf3JEccqXUFxG1VWQ,8,11,13,7,5,14,14
1eCgFaDYZRrCxuUErHa_tg,2,0,0,0,0,4,8
1eCvpgvB4QA0fSwb85Dw,0,0,1,0,3,0,0
1EijFh9CwBquhE25Vmpekw,2,5,1,1,0,0,0
1eJiyKXx_ruNu6F36BJQCg,26,35,23,31,35,42,44
1EkTJSMIne48E8LTAOjhvw,0,0,0,1,0,2,1
1Em9F8YAExkGP_bglFAhw,2,2,5,4,7,5,2
1EnMK0EMcRJrzVtBfeNXQ,8,7,7,3,5,3,1
1es60210U2Zho5LzG46Bxg,0,3,0,4,5,9,4
1FpelV0fTduYV_vCrvjLA,9,12,11,10,24,37,36
1f0g466Geu4nDdJhYQ_Vhg,4,5,7,8,13,11,16
1F3wLIHATM_Ec_E4GAoiw,1,2,0,3,7,3,3
1f67KfT4jxRkj4m9AmwrMA,3,0,1,1,1,7,5
1FkRvL3fj2ERBoddXwanTQ,16,10,13,13,18,15,6
1g1rzWxU2PQqI09ajFsA,1,0,1,0,1,1,1
1ggcLvWPBDWnp5MVTRnoRg,10,8,15,30,37,40,21
1gM3AuckLVCPuG4uxrnB0Q,0,0,0,0,2,3,0
1hx5eHWcCYa1Yj0TNiUEA,5,3,8,2,6,2,5
1hcGT6I1vAIH_pZuyud0HQ,0,1,1,0,2,1,0
1HNEj6kcEw369RX9Vlcixw,4,1,3,3,1,6,3
1HqmlbLCoFBEF_V77oJTnw,9,15,8,17,21,24,16
1J1iid_qU__8_CxiS2Zw4Q,1,1,1,2,1,1,1
1J6fSg7Vd3gycjkqT7jW9Q,10,2,17,10,11,5,3
1JtBZRcuyLnFn9pGmwMddg,0,0,2,0,1,0,2
1jXZJ3JUuR2SBFCv4vAJ_g,1,2,5,3,4,0,0
1jzi9o0J2dePrHwJslZisA,0,0,1,0,0,0,2
1kPUkLq_3gMtX_HRwcF17A,6,1,4,5,5,5,5
1LjuIrLNPrIi_ZUwr7qFKA,0,0,0,1,1,2,2
1LJZUxAzf6EIvphl1wnj4A,0,1,0,1,0,1,0
1lPG5M2N8wWNJMrricrbIw,0,0,0,1,0,2,3
1LSxfyNIUFbQbEj0FDGTw,11,7,11,11,23,12,30
1M4oczf2lmkdgbrJ3J7OqA,15,17,21,18,55,39,21
1MDfrVkvxMKS06jPNPhLcA,0,8,3,3,7,13,10
1mhywrdsgdqJM3OGZIpVtA,40,15,13,36,57,114,132
1N3D381l_VZZY4ZHvpDww,1,2,3,2,1,3,0
1Nge1ObX93y1AoXONt34A,3,8,4,6,3,6,6
1nhug_rhFFtF9D61X_EVBg,9,11,6,13,6,11,14
1nIf2BoKPoNHbQKbiIzig,0,1,1,0,1,1,0
1nq6zzJuVgwaHtXau97_Iw,2,1,0,1,2,4,4
1nsxori657cAx2hiyYb4rA,0,0,1,0,1,0,1
1nyX5dTwS4Ymi2GnfFtIIw,3,3,0,2,2,4,0
1NZLxU5WvB5roPFzneAlLw,2,48,43,32,76,50,69
1OA1jo0GlK9sf68f00w8ZQ,100,117,125,165,147,175,187
1oFvqm7eSpJbVpxpPxueaA,9,7,7,8,21,19,23
1OigyqVxIfE6AGKNGWZjnw,26,24,15,18,28,23,19
1ojDBw2DJEDu14cZxnR_JQ,1,1,1,1,1,10,1
1P8Yy8s5h2TK_SbweAz4TQ,3,2,0,2,1,3,0
1PaH4t64MN_MFAaM53ra6A,0,2,0,1,0,1,0
1pGC0jvQ6vN5rzmCHjmfg,132,126,107,138,314,358,438
1PM40DbmTVCNgENzZfs1kg,0,2,2,3,1,1,0
1PWBVeIGZSdLdabs_5HUCg,0,2,3,1,2,3,0
1pYcTdg1n7_S867aR4SAvw,3,9,7,5,5,4,0
1Q1hrAxT2X3lgxDLBOLEQA,11,12,9,11,23,17,14
1Q5RBgfdqaksCLe4s5A2jA,0,1,1,0,3,0,1
